State,Date,Category,Total,week_start,lag_1,lag_7,lag_30,rolling_mean_7,rolling_std_7,month,week_of_year,quarter,is_holiday
Alabama,2020-05-03,Beverages,128066131,2020-05-03,118114595.0,132632134.0,129106730.0,121865237.0,5643463.298381996,5,18,2,False
Alabama,2020-05-10,Beverages,127906087,2020-05-10,128066131.0,127145065.0,123782286.0,121212950.85714285,4511689.909981068,5,19,2,False
Alabama,2020-05-17,Beverages,130340051,2020-05-17,127906087.0,116657084.0,116218909.0,121321668.28571428,4660054.839879393,5,20,2,False
Alabama,2020-05-24,Beverages,134708619,2020-05-24,130340051.0,123259529.0,109968011.0,123276377.85714285,5138641.168874144,5,21,2,False
Alabama,2020-05-31,Beverages,129887877,2020-05-31,134708619.0,117506179.0,112189104.0,124911962.14285715,6511630.621015843,5,22,2,False
Alabama,2020-06-07,Beverages,132304541,2020-06-07,129887877.0,117742073.0,110932913.0,126680776.14285715,5913936.534663507,6,23,2,False
Alabama,2020-06-14,Beverages,131401893,2020-06-14,132304541.0,118114595.0,109056410.0,128761128.71428572,4873452.382835572,6,24,2,False
Alabama,2020-06-21,Beverages,133712552,2020-06-21,131401893.0,128066131.0,113040422.0,130659314.14285715,2225083.2192769824,6,25,2,False
Alabama,2020-06-28,Beverages,132320128,2020-06-28,133712552.0,127906087.0,109574036.0,131465945.71428572,2161350.38756101,6,26,2,False
Alabama,2020-07-05,Beverages,138414683,2020-07-05,132320128.0,130340051.0,108083724.0,132096523.0,1602394.9844534763,7,27,3,False
Alabama,2020-07-12,Beverages,129799793,2020-07-12,138414683.0,134708619.0,108528456.0,133250041.85714285,2549324.824501543,7,28,3,False
Alabama,2020-07-19,Beverages,133548791,2020-07-19,129799793.0,129887877.0,116541575.0,132548781.0,2721024.0139635378,7,29,3,False
Alabama,2020-07-26,Beverages,132657649,2020-07-26,133548791.0,132304541.0,106949922.0,133071768.71428572,2502364.557481904,7,30,3,False
Alabama,2020-08-02,Beverages,131945461,2020-08-02,132657649.0,131401893.0,104239954.0,133122212.71428572,2489918.0491973525,8,31,3,False
Alabama,2020-08-09,Beverages,137744835,2020-08-09,131945461.0,133712552.0,108717628.0,133199865.28571428,2443091.673234647,8,32,3,False
Alabama,2020-08-16,Beverages,137880677,2020-08-16,137744835.0,132320128.0,105904866.0,133775905.71428572,2924087.7081854157,8,33,3,False
Alabama,2020-08-23,Beverages,131642695,2020-08-23,137880677.0,138414683.0,106265737.0,134570269.85714287,3165997.479706167,8,34,3,False
Alabama,2020-08-30,Beverages,128713002,2020-08-30,131642695.0,129799793.0,108358280.0,133602843.0,2863677.9386529652,8,35,3,False
Alabama,2020-09-06,Beverages,137905687,2020-09-06,128713002.0,133548791.0,109022482.0,133447587.14285715,3086449.2865435146,9,36,3,False
Alabama,2020-09-13,Beverages,134469488,2020-09-13,137905687.0,132657649.0,107397612.0,134070000.85714285,3460714.3086419646,9,37,3,False
Alabama,2020-09-20,Beverages,129079260,2020-09-20,134469488.0,131945461.0,107801054.0,134328835.0,3412826.459458235,9,38,3,False
Alabama,2020-09-27,Beverages,127614100,2020-09-27,129079260.0,137744835.0,116651493.0,133919377.71428572,3821661.3865031684,9,39,3,False
Alabama,2020-10-04,Beverages,133713630,2020-10-04,127614100.0,137880677.0,119441834.0,132472129.85714285,4012416.253884171,10,40,4,False
Alabama,2020-10-11,Beverages,128170886,2020-10-11,133713630.0,131642695.0,132632134.0,131876837.42857143,3433130.979163444,10,41,4,False
Alabama,2020-10-18,Beverages,122464550,2020-10-18,128170886.0,128713002.0,127145065.0,131380864.71428572,3673496.7580826087,10,42,4,False
